Iteracao,Gbest_Erro,Kp,Ki,Kd
0.0,26638.04,3.72,1.05,0.01
0.0,26638.04,3.72,1.05,0.01
0.0,5793.2,4.02,0.18,0.79
0.0,5793.2,4.02,0.18,0.79
0.0,5793.2,4.02,0.18,0.79
0.0,5793.2,4.02,0.18,0.79
1.0,5793.2,4.02,0.18,0.79
1.0,5793.2,4.02,0.18,0.79
1.0,5793.2,4.02,0.18,0.79
1.0,5793.2,4.02,0.18,0.79
1.0,5793.2,4.02,0.18,0.79
1.0,5793.2,4.02,0.18,0.79
1.0,5793.2,4.02,0.18,0.79
2.0,5793.2,4.02,0.18,0.79
2.0,5793.2,4.02,0.18,0.79
2.0,5793.2,4.02,0.18,0.79
2.0,5793.2,4.02,0.18,0.79
2.0,5793.2,4.02,0.18,0.79
2.0,5793.2,4.02,0.18,0.79
2.0,5793.2,4.02,0.18,0.79
3.0,5793.2,4.02,0.18,0.79
3.0,5793.2,4.02,0.18,0.79
3.0,5793.2,4.02,0.18,0.79
3.0,5793.2,4.02,0.18,0.79
3.0,5793.2,4.02,0.18,0.79
3.0,5793.2,4.02,0.18,0.79
3.0,5793.2,4.02,0.18,0.79
4.0,5793.2,4.02,0.18,0.79
4.0,5793.2,4.02,0.18,0.79
4.0,5793.2,4.02,0.18,0.79
4.0,5793.2,4.02,0.18,0.79
4.0,5793.2,4.02,0.18,0.79
4.0,5793.2,4.02,0.18,0.79
4.0,5793.2,4.02,0.18,0.79
5.0,5793.2,4.02,0.18,0.79
5.0,5793.2,4.02,0.18,0.79
5.0,5793.2,4.02,0.18,0.79
5.0,5793.2,4.02,0.18,0.79
5.0,5793.2,4.02,0.18,0.79
5.0,5793.2,4.02,0.18,0.79
5.0,5793.2,4.02,0.18,0.79
6.0,5793.2,4.02,0.18,0.79
6.0,5793.2,4.02,0.18,0.79
6.0,5793.2,4.02,0.18,0.79
6.0,5793.2,4.02,0.18,0.79
6.0,5793.2,4.02,0.18,0.79
6.0,5793.2,4.02,0.18,0.79
6.0,5793.2,4.02,0.18,0.79
7.0,5793.2,4.02,0.18,0.79
7.0,5793.2,4.02,0.18,0.79
7.0,5793.2,4.02,0.18,0.79
7.0,5793.2,4.02,0.18,0.79
7.0,5562.82,4.01,0.0,0.79
7.0,5231.24,5.0,0.17,0.79
7.0,5231.24,5.0,0.17,0.79
8.0,5231.24,5.0,0.17,0.79
8.0,5231.24,5.0,0.17,0.79
8.0,5231.24,5.0,0.17,0.79
8.0,3888.68,4.02,0.18,0.79
8.0,3888.68,4.02,0.18,0.79
8.0,3888.68,4.02,0.18,0.79
8.0,3888.68,4.02,0.18,0.79
9.0,3888.68,4.02,0.18,0.79
9.0,3888.68,4.02,0.18,0.79
9.0,3888.68,4.02,0.18,0.79
9.0,3888.68,4.02,0.18,0.79
9.0,3888.68,4.02,0.18,0.79
9.0,3888.68,4.02,0.18,0.79
9.0,3888.68,4.02,0.18,0.79
10.0,3888.68,4.02,0.18,0.79
10.0,3888.68,4.02,0.18,0.79
10.0,3888.68,4.02,0.18,0.79
10.0,3888.68,4.02,0.18,0.79
10.0,3888.68,4.02,0.18,0.79
10.0,3888.68,4.02,0.18,0.79
10.0,3888.68,4.02,0.18,0.79
11.0,3888.68,4.02,0.18,0.79
11.0,3888.68,4.02,0.18,0.79
11.0,3888.68,4.02,0.18,0.79
11.0,3888.68,4.02,0.18,0.79
11.0,3888.68,4.02,0.18,0.79
11.0,3888.68,4.02,0.18,0.79
11.0,3888.68,4.02,0.18,0.79
12.0,3888.68,4.02,0.18,0.79
12.0,3888.68,4.02,0.18,0.79
12.0,3888.68,4.02,0.18,0.79
12.0,3888.68,4.02,0.18,0.79
12.0,3888.68,4.02,0.18,0.79
12.0,3888.68,4.02,0.18,0.79
12.0,3888.68,4.02,0.18,0.79
13.0,3888.68,4.02,0.18,0.79
13.0,3888.68,4.02,0.18,0.79
13.0,3888.68,4.02,0.18,0.79
13.0,3888.68,4.02,0.18,0.79
13.0,3888.68,4.02,0.18,0.79
13.0,3888.68,4.02,0.18,0.79
13.0,3888.68,4.02,0.18,0.79
14.0,3888.68,4.02,0.18,0.79
14.0,3888.68,4.02,0.18,0.79
14.0,3888.68,4.02,0.18,0.79
14.0,3888.68,4.02,0.18,0.79
14.0,3888.68,4.02,0.18,0.79
14.0,3888.68,4.02,0.18,0.79
14.0,3888.68,4.02,0.18,0.79
15.0,3888.68,4.02,0.18,0.79
15.0,3888.68,4.02,0.18,0.79
15.0,3888.68,4.02,0.18,0.79
15.0,3888.68,4.02,0.18,0.79
15.0,3888.68,4.02,0.18,0.79
15.0,3888.68,4.02,0.18,0.79
15.0,3888.68,4.02,0.18,0.79
16.0,3888.68,4.02,0.18,0.79
16.0,3888.68,4.02,0.18,0.79
16.0,3888.68,4.02,0.18,0.79
16.0,3888.68,4.02,0.18,0.79
16.0,3888.68,4.02,0.18,0.79
16.0,3888.68,4.02,0.18,0.79
16.0,3888.68,4.02,0.18,0.79
17.0,3888.68,4.02,0.18,0.79
17.0,3888.68,4.02,0.18,0.79
17.0,3888.68,4.02,0.18,0.79
17.0,3888.68,4.02,0.18,0.79
17.0,3888.68,4.02,0.18,0.79
17.0,3888.68,4.02,0.18,0.79
17.0,3888.68,4.02,0.18,0.79
18.0,3888.68,4.02,0.18,0.79
18.0,3888.68,4.02,0.18,0.79
18.0,3888.68,4.02,0.18,0.79
18.0,3888.68,4.02,0.18,0.79
18.0,3888.68,4.02,0.18,0.79
18.0,3888.68,4.02,0.18,0.79
18.0,3888.68,4.02,0.18,0.79
19.0,3888.68,4.02,0.18,0.79
19.0,3888.68,4.02,0.18,0.79
19.0,3888.68,4.02,0.18,0.79
19.0,3888.68,4.02,0.18,0.79
19.0,3888.68,4.02,0.18,0.79
19.0,3888.68,4.02,0.18,0.79
19.0,3888.68,4.02,0.18,0.79
20.0,3888.68,4.02,0.18,0.79
20.0,3888.68,4.02,0.18,0.79
20.0,3888.68,4.02,0.18,0.79
20.0,3888.68,4.02,0.18,0.79
20.0,3888.68,4.02,0.18,0.79
20.0,3888.68,4.02,0.18,0.79
20.0,3888.68,4.02,0.18,0.79
21.0,3888.68,4.02,0.18,0.79
21.0,3390.87,4.19,0.1,0.5
21.0,3390.87,4.19,0.1,0.5
21.0,3390.87,4.19,0.1,0.5
21.0,3390.87,4.19,0.1,0.5
21.0,3390.87,4.19,0.1,0.5
21.0,3390.87,4.19,0.1,0.5
22.0,3390.87,4.19,0.1,0.5
22.0,3390.87,4.19,0.1,0.5
22.0,3390.87,4.19,0.1,0.5
22.0,3390.87,4.19,0.1,0.5
22.0,3390.87,4.19,0.1,0.5
22.0,3390.87,4.19,0.1,0.5
22.0,3390.87,4.19,0.1,0.5
23.0,3390.87,4.19,0.1,0.5
23.0,3390.87,4.19,0.1,0.5
23.0,3390.87,4.19,0.1,0.5
23.0,3390.87,4.19,0.1,0.5
23.0,3390.87,4.19,0.1,0.5
23.0,3390.87,4.19,0.1,0.5
23.0,3390.87,4.19,0.1,0.5
24.0,3390.87,4.19,0.1,0.5
24.0,3390.87,4.19,0.1,0.5
